@RELATION atmosphere.n


@ATTRIBUTE senses {0001000, 0100000, 0000000, 0000001, 1000000, 0000010, 0010000}
@ATTRIBUTE #freedom{0,1}
@ATTRIBUTE #corners{0,1}
@ATTRIBUTE #creates{0,1}
@ATTRIBUTE #passes{0,1}
@ATTRIBUTE #rage{0,1}
@ATTRIBUTE #leaves{0,1}
@ATTRIBUTE #highlight{0,1}
@ATTRIBUTE #absorbing{0,1}
@ATTRIBUTE #bother{0,1}
@ATTRIBUTE #temperature{0,1}
@ATTRIBUTE #becoming{0,1}
@ATTRIBUTE #poisoned{0,1}
@ATTRIBUTE #barrier{0,1}
@ATTRIBUTE #lingering{0,1}
@ATTRIBUTE #autonomy{0,1}
@ATTRIBUTE #created{0,1}
@ATTRIBUTE #prickly{0,1}
@ATTRIBUTE #prevails{0,1}
@ATTRIBUTE #thereby{0,1}
@ATTRIBUTE #politburo{0,1}
@ATTRIBUTE #cheerful{0,1}
@ATTRIBUTE #cinephiles{0,1}
@ATTRIBUTE #harmonious{0,1}
@ATTRIBUTE #judit{0,1}
@ATTRIBUTE #unstable{0,1}
@ATTRIBUTE #creating{0,1}
@ATTRIBUTE #rubber{0,1}
@ATTRIBUTE #grips{0,1}
@ATTRIBUTE #contempt{0,1}
@ATTRIBUTE #stressing{0,1}
@ATTRIBUTE #hours{0,1}
@ATTRIBUTE #mood{0,1}
@ATTRIBUTE #batteries{0,1}
@ATTRIBUTE #purification{0,1}
@ATTRIBUTE #interacts{0,1}
@ATTRIBUTE #polarize{0,1}
@ATTRIBUTE #create{0,1}
@ATTRIBUTE #quietly{0,1}
@ATTRIBUTE #hungarian{0,1}
@ATTRIBUTE #dusty{0,1}
@ATTRIBUTE #conditions{0,1}
@ATTRIBUTE #olde{0,1}
@ATTRIBUTE #tempered{0,1}
@ATTRIBUTE #present{0,1}
@ATTRIBUTE #slightest{0,1}
@ATTRIBUTE #conscious{0,1}
@ATTRIBUTE #experienced{0,1}
@ATTRIBUTE #opening{0,1}
@ATTRIBUTE #constructive{0,1}
@ATTRIBUTE #expressionist{0,1}
@ATTRIBUTE #wilted{0,1}
@ATTRIBUTE #pumped{0,1}
@ATTRIBUTE #unique{0,1}
@ATTRIBUTE #explosive{0,1}
@ATTRIBUTE #plenty{0,1}
@ATTRIBUTE #reveals{0,1}
@ATTRIBUTE #neo{0,1}
@ATTRIBUTE #ocean{0,1}
@ATTRIBUTE #build{0,1}
@ATTRIBUTE #hieratic{0,1}
@ATTRIBUTE #plot{0,1}
@ATTRIBUTE #southern{0,1}
@ATTRIBUTE #deco{0,1}
@ATTRIBUTE #endless{0,1}
@ATTRIBUTE #millions{0,1}
@ATTRIBUTE #extreme{0,1}
@ATTRIBUTE #pollute{0,1}
@ATTRIBUTE #foretaste{0,1}
@ATTRIBUTE #romantic{0,1}
@ATTRIBUTE #prevailed{0,1}
@ATTRIBUTE #pollution{0,1}
@ATTRIBUTE #drums{0,1}
@ATTRIBUTE #intimidating{0,1}
@ATTRIBUTE #retains{0,1}
@ATTRIBUTE #dire{0,1}
@ATTRIBUTE #master{0,1}
@ATTRIBUTE #pen{0,1}
@ATTRIBUTE #dioxide{0,1}
@ATTRIBUTE #recall{0,1}
@ATTRIBUTE #club{0,1}
@ATTRIBUTE #casino{0,1}
@ATTRIBUTE #worlde{0,1}
@ATTRIBUTE #informal{0,1}
@ATTRIBUTE #encounters{0,1}
@ATTRIBUTE #efficiency{0,1}
@ATTRIBUTE #berlin{0,1}
@ATTRIBUTE #earth{0,1}
@ATTRIBUTE #studio{0,1}
@ATTRIBUTE #invariably{0,1}
@ATTRIBUTE #raises{0,1}
@ATTRIBUTE #remains{0,1}
@ATTRIBUTE #analysing{0,1}
@ATTRIBUTE #interviews{0,1}
@ATTRIBUTE #worldly{0,1}
@ATTRIBUTE #asian{0,1}
@ATTRIBUTE #affected{0,1}
@ATTRIBUTE #loses{0,1}
@ATTRIBUTE #releasing{0,1}
@ATTRIBUTE #suspicion{0,1}
@ATTRIBUTE #fraught{0,1}
@ATTRIBUTE #pottery{0,1}
@ATTRIBUTE #sets{0,1}
@ATTRIBUTE #rarefied{0,1}
@ATTRIBUTE #workman{0,1}
@ATTRIBUTE #spuriously{0,1}
@ATTRIBUTE #closeness{0,1}
@ATTRIBUTE #samuels{0,1}
@ATTRIBUTE #visitors{0,1}
@ATTRIBUTE #global{0,1}
@ATTRIBUTE #damage{0,1}
@ATTRIBUTE #enter{0,1}
@ATTRIBUTE #authentically{0,1}
@ATTRIBUTE #period{0,1}
@ATTRIBUTE #inviolable{0,1}
@ATTRIBUTE #pub{0,1}
@ATTRIBUTE #charged{0,1}
@ATTRIBUTE #brash{0,1}
@ATTRIBUTE #barbara{0,1}
@ATTRIBUTE #producing{0,1}
@ATTRIBUTE #unpleasant{0,1}
@ATTRIBUTE #velvety{0,1}
@ATTRIBUTE #resonance{0,1}
@ATTRIBUTE #enjoys{0,1}
@ATTRIBUTE #neighbourhoods{0,1}
@ATTRIBUTE #generated{0,1}
@ATTRIBUTE #diminishing{0,1}
@ATTRIBUTE #clubby{0,1}
@ATTRIBUTE #molecules{0,1}
@ATTRIBUTE #vibrate{0,1}
@ATTRIBUTE #thin{0,1}
@ATTRIBUTE #mishmash{0,1}
@ATTRIBUTE #release{0,1}
@ATTRIBUTE #media{0,1}
@ATTRIBUTE #causes{0,1}
@ATTRIBUTE #killing{0,1}
@ATTRIBUTE #tunes{0,1}
@ATTRIBUTE #succeeded{0,1}
@ATTRIBUTE #scotland{0,1}
@ATTRIBUTE #generate{0,1}
@ATTRIBUTE #australian{0,1}
@ATTRIBUTE #implies{0,1}
@ATTRIBUTE #gripped{0,1}
@ATTRIBUTE #optimistic{0,1}
@ATTRIBUTE #longest{0,1}
@ATTRIBUTE #realistic{0,1}
@ATTRIBUTE #swept{0,1}
@ATTRIBUTE #longchamp{0,1}
@ATTRIBUTE #vindictiveness{0,1}
@ATTRIBUTE #transparent{0,1}
@ATTRIBUTE #mistrust{0,1}
@ATTRIBUTE #izzat{0,1}
@ATTRIBUTE #emphasise{0,1}
@ATTRIBUTE #lax{0,1}
@ATTRIBUTE #ominous{0,1}
@ATTRIBUTE #tense{0,1}
@ATTRIBUTE #funny{0,1}
@ATTRIBUTE #cabinet{0,1}
@ATTRIBUTE #harassment{0,1}
@ATTRIBUTE #stuffy{0,1}
@ATTRIBUTE #transcendental{0,1}
@ATTRIBUTE #suppressed{0,1}
@ATTRIBUTE #absorb{0,1}
@ATTRIBUTE #supporting{0,1}
@ATTRIBUTE #stifling{0,1}
@ATTRIBUTE #competitive{0,1}
@ATTRIBUTE #hothouse{0,1}
@ATTRIBUTE #forget{0,1}
@ATTRIBUTE #psycho{0,1}
@ATTRIBUTE #preservation{0,1}

@DATA
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0000000, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
